gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,Churn,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,IsNewCustomer,IsLongTermCustomer,AvgMonthlyCharge,TotalServices
0,0,1,1,42.0,1,2,2,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,42.09,2
1,0,0,0,9.0,0,0,2,0,0,0,1,0,0,2,1,0,0,1,0,0,0,0,98.68,1
1,0,1,0,13.0,1,2,1,0,0,0,0,1,0,2,1,0,1,0,0,0,0,0,100.45,2
1,0,0,0,32.0,1,2,1,1,0,1,0,0,0,2,1,0,1,0,0,0,0,0,24.44,3
1,0,1,0,17.0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,80.10000000000001,1
0,0,1,1,19.0,1,2,2,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,41.59,1
0,0,1,0,38.0,1,2,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,43.94,2
1,1,0,1,10.0,1,1,2,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,47.55,3
1,0,0,1,5.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,79.33,1
0,0,1,1,22.0,0,0,2,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,28.01,0
1,0,0,0,23.0,1,1,2,0,0,0,1,0,0,2,1,1,0,0,1,0,0,0,19.18,2
1,0,0,0,26.0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,33.37,1
0,0,1,0,70.0,1,2,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,22.95,2
0,0,0,0,47.0,1,2,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,47.45,1
1,0,0,0,17.0,1,2,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,30.7,3
0,0,0,0,36.0,1,2,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,43.51,2
0,0,1,0,47.0,1,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,20.92,1
0,0,0,0,11.0,1,1,2,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,81.44,3
0,0,1,0,41.0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,48.2,1
1,0,1,1,22.0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,27.59,1
0,0,0,0,14.0,1,2,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,23.47,1
0,0,0,0,24.0,1,2,2,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,38.22,3
0,0,0,0,9.0,1,1,2,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,53.92,2
1,0,1,1,3.0,1,2,2,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,37.81,2
1,0,0,0,20.0,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,93.54,1
1,0,1,0,11.0,1,1,2,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,24.79,1
0,1,0,0,14.0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,37.44,1
1,1,0,0,23.0,1,2,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,45.37,2
1,0,0,0,22.0,1,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,41.19,2
1,0,0,0,21.0,1,1,2,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,68.4,2
0,0,0,1,26.0,1,2,2,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,66.57,1
0,1,1,0,33.0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,99.06,2
0,0,0,0,4.0,1,1,1,0,1,1,0,0,1,0,1,1,1,0,0,0,1,0,32.73,4
0,1,0,1,38.0,1,2,1,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,90.74,2
0,0,0,1,10.0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,109.57,1
0,0,0,0,2.0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,44.5,2
1,0,1,0,41.0,1,2,2,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,20.27,2
1,0,0,0,50.0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,26.9,1
0,0,0,0,23.0,1,1,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,24.69,1
0,0,0,0,15.0,1,2,2,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,32.71,2
0,0,0,0,6.0,1,2,2,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,22.5,1
0,0,1,0,23.0,1,2,2,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,39.09,1
0,0,1,1,6.0,1,2,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,19.88,1
0,0,0,1,23.0,1,1,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,46.34,1
0,1,0,0,28.0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,48.96,1
1,0,1,0,12.0,1,2,2,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,35.53,1
0,0,0,1,39.0,1,1,2,0,1,0,0,0,0,2,1,0,0,0,1,0,0,0,42.81,2
0,0,0,0,11.0,1,2,1,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,18.39,1
1,0,0,0,31.0,0,0,2,1,0,1,0,0,0,2,1,0,0,0,1,0,0,0,34.95,2
1,0,1,0,42.0,1,2,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,27.34,1
1,0,1,0,32.0,1,2,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,51.7,1
0,0,1,1,21.0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,25.91,0
1,0,1,0,32.0,0,0,2,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,33.35,2
0,0,1,0,47.0,1,2,2,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,107.81,1
0,0,1,0,11.0,1,1,2,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,37.47,2
1,0,0,1,29.0,0,0,2,0,0,0,0,1,0,2,1,0,0,0,1,0,0,0,41.41,1
0,0,0,0,38.0,1,1,2,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,41.19,4
0,1,0,1,24.0,1,2,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,55.0,1
0,0,0,0,25.0,1,2,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,47.76,1
0,1,1,0,22.0,1,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,18.45,2
1,0,0,1,8.0,1,2,2,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,18.68,3
1,0,1,0,30.0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,45.2,3
0,0,1,0,48.0,1,2,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,42.55,3
0,0,1,1,12.0,1,2,2,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,86.05,1
1,0,0,0,10.0,1,1,2,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,46.27,1
1,0,0,0,31.0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,38.43,1
1,0,0,0,34.0,1,2,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,35.13,2
0,1,1,1,3.0,1,1,2,0,0,0,0,0,0,2,1,0,0,0,0,1,1,0,88.77999999999999,1
0,0,1,1,46.0,1,1,2,1,0,0,0,0,0,2,1,0,0,0,1,0,0,0,45.97,2
1,0,1,1,12.0,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,36.15,1
1,1,0,0,39.0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,114.145,1
0,1,1,0,6.0,1,1,2,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,63.73,3
1,0,0,0,3.0,1,1,2,0,0,0,0,0,0,2,1,0,0,0,0,1,1,0,70.86,1
1,0,0,0,8.0,1,2,2,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,69.08,3
1,0,0,0,32.0,1,2,2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,56.57,2
1,0,1,1,18.0,1,1,2,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,59.23,1
1,0,1,0,16.0,1,2,2,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,25.95,2
0,0,0,1,17.0,1,2,2,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,101.02,2
1,1,0,0,46.0,1,1,2,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,34.82,3
0,0,1,0,28.0,1,1,2,1,1,0,0,0,0,2,1,0,1,0,0,0,0,0,89.17999999999999,3
1,1,0,0,29.0,1,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,35.410000000000004,1
1,0,1,1,11.0,1,1,2,0,0,1,0,0,0,2,1,0,0,0,0,1,0,0,28.72,2
0,0,0,0,20.0,1,2,2,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,77.77000000000001,1
0,0,1,0,47.0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,102.8,0
1,0,0,1,27.0,1,2,2,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,32.050000000000004,2
1,0,1,0,65.0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,46.8,0
1,0,0,0,3.0,1,1,2,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,73.78,2
0,0,0,0,6.0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,19.23,2
0,0,0,0,23.0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,21.72,1
1,0,0,1,25.0,1,2,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,43.03,1
0,0,1,1,40.0,1,2,1,0,1,0,0,0,0,2,1,0,0,0,0,1,0,0,39.14,2
1,1,0,0,29.0,1,2,2,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,96.78,2
0,0,0,0,52.0,1,2,2,0,0,0,1,0,0,2,1,0,0,1,0,0,0,1,98.75,2
0,0,0,0,45.0,1,1,2,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,43.34,1
1,0,1,1,20.0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,113.2,1
1,0,1,0,19.0,1,2,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,40.02,1
1,0,0,1,10.0,1,1,2,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,29.910000000000004,3
1,0,1,1,2.0,1,1,1,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0,27.46,3
1,0,1,0,13.0,1,2,2,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,40.67,4
1,1,0,1,14.0,1,1,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,40.02,3
0,0,0,1,23.0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,30.67,1
1,0,1,0,5.0,1,2,2,0,0,0,0,0,0,2,1,0,0,0,1,0,1,0,79.53,1
0,0,0,0,15.0,1,2,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,21.81,1
0,1,1,1,2.0,1,2,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,21.45,1
1,0,0,0,29.0,1,1,2,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,23.71,3
0,0,1,1,1.0,1,1,2,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,68.98,4
1,0,1,1,4.0,1,1,2,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,23.09,1
0,0,0,0,13.0,1,2,2,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,32.980000000000004,6
0,0,0,1,41.0,1,2,2,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,20.78,2
1,0,1,0,26.0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,82.5,1
0,0,0,0,15.0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,78.1,1
0,0,0,1,6.0,1,2,2,0,0,1,0,0,0,2,1,0,0,1,0,0,1,0,24.21,2
0,0,0,1,4.0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,22.75,3
1,0,0,1,42.0,1,2,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,33.07,3
0,0,0,0,48.0,1,1,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,26.13,3
1,0,1,1,16.0,1,2,2,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,19.93,3
0,0,1,0,39.0,1,2,2,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,42.66,2
1,0,1,0,16.0,1,1,2,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,38.7,2
1,0,0,1,40.0,1,2,2,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,46.34,1
1,0,0,0,37.0,1,1,2,0,0,0,0,0,1,2,1,0,1,0,0,0,0,0,23.22,2
0,0,0,1,5.0,1,2,2,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,108.2,3
0,0,1,1,43.0,1,1,2,1,1,0,0,1,0,2,1,0,0,0,0,1,0,0,47.28,4
0,0,0,0,32.0,1,2,2,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,49.48,3
0,0,0,0,11.0,1,1,2,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,103.13,4
1,0,0,0,29.0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,44.31,1
0,0,0,0,20.0,1,2,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,19.7,1
1,0,0,1,24.0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,18.33,1
0,0,1,0,13.0,1,2,2,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,46.71,1
1,0,0,1,11.0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,114.145,2
1,0,0,1,7.0,1,1,2,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,22.76,2
1,0,0,0,17.0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,21.95,1
1,0,0,1,9.0,1,2,2,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,114.145,3
0,1,1,1,44.0,1,2,2,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,114.145,3
1,0,0,1,14.0,1,2,2,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,46.6,2
0,0,0,0,1.0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,97.73,3
1,1,0,0,36.0,1,2,1,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,55.99,2
0,0,1,1,31.0,1,2,2,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,67.89,3
0,0,0,1,17.0,1,1,2,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,114.145,1
0,0,0,0,11.0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,40.14,1
1,0,0,1,39.0,1,2,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,18.61,1
1,0,0,0,33.0,0,2,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,59.94,1
1,0,1,1,9.0,1,2,2,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,44.39,2
1,0,1,0,8.0,1,1,2,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,82.79,2
0,0,0,0,36.0,1,2,2,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,27.56,3
1,1,0,0,16.0,1,2,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,56.3,1
1,0,0,0,15.0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,41.190000000000005,1
0,0,1,1,39.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,65.27000000000001,0
0,0,0,0,43.0,1,1,2,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,107.71,2
1,1,0,1,9.0,1,2,2,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,30.39,2
0,1,0,0,40.0,1,2,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,34.45,1
1,0,0,0,7.0,1,2,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,86.48,1
0,0,1,0,23.0,1,1,2,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,71.64,2
1,1,0,0,20.0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,25.22,1
0,0,0,0,20.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,37.010000000000005,0
0,0,1,0,61.0,1,1,2,1,0,1,0,1,0,0,1,1,0,1,0,0,0,1,37.17,4
0,1,0,0,51.0,1,1,2,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,38.85,2
0,0,0,0,22.0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,24.92,1
1,0,0,0,20.0,1,1,0,0,0,0,0,0,0,2,1,1,0,0,1,0,0,0,53.53,1
1,0,1,0,47.0,1,2,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,64.63000000000001,1
1,0,0,0,43.0,1,2,2,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,25.72,3
1,0,1,0,17.0,1,2,2,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,114.145,2
1,0,1,0,17.0,1,1,2,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,78.49,1
0,0,0,0,24.0,1,1,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,90.71,1
1,0,0,0,12.0,1,2,1,0,0,0,1,0,1,2,0,0,0,1,0,0,0,0,61.66,3
1,1,0,1,27.0,1,2,2,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,71.42,2
1,0,1,1,54.0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,1,25.65,0
0,1,1,1,31.0,1,1,2,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,38.8,3
0,1,0,0,41.0,1,1,2,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,83.96000000000001,4
0,0,0,1,44.0,1,2,1,0,1,0,1,0,0,2,0,0,0,1,0,0,0,0,26.66,3
1,0,0,0,3.0,1,1,2,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,32.09,3
1,0,1,0,35.0,1,1,2,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,47.39,2
1,1,0,0,25.0,1,2,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,38.24,1
1,1,0,0,14.0,1,2,2,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,48.92,3
0,0,0,0,5.0,0,2,2,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,85.33,1
1,1,0,0,27.0,1,2,2,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,60.080000000000005,4
1,0,1,1,33.0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,29.4,1
0,0,1,1,2.0,1,1,2,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,66.52,2
1,0,0,0,35.0,1,1,1,0,0,0,1,1,0,2,1,0,1,0,0,0,0,0,79.77,3
0,1,0,1,19.0,1,2,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,28.47,4
0,1,0,0,10.0,1,2,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,79.28,2
1,0,1,0,17.0,1,2,1,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,42.87,2
1,0,0,1,18.0,1,1,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,39.080000000000005,4
0,0,0,1,2.0,1,1,2,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,36.78,3
0,0,1,1,4.0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,38.3,1
1,0,1,0,2.0,1,2,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,45.01,2
1,0,1,0,3.0,1,1,2,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,82.51,2
1,0,1,1,31.0,1,2,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,38.46,2
1,0,0,0,8.0,1,2,2,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,28.27,2
0,0,1,1,10.0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,18.91,1
0,0,0,0,37.0,1,1,2,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,33.6,1
1,1,0,1,21.0,1,2,2,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,32.17,3
1,1,0,1,46.0,1,2,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,48.06,1
0,1,1,0,37.0,1,2,2,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,36.84,1
1,0,1,0,11.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,43.08,1
1,0,0,0,2.0,1,1,2,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,89.97,2
